Date / Time,CPU Usage %,Temperature C
2025-03-24 15:27:00.088017,3.8,32.1877
2025-03-24 15:27:10.360711,2.9,34.0544
2025-03-24 15:27:20.571241,1.8,32.4009
2025-03-24 15:27:30.804303,2.9,35.5879
2025-03-24 15:27:41.016731,5.5,36.9963
2025-03-24 15:27:51.248169,0.7,32.9222
2025-03-24 15:28:01.466404,0.5,32.6294
2025-03-24 15:28:11.679927,0.4,32.3870
2025-03-24 15:28:21.920551,0.4,32.1073
2025-03-24 15:28:32.077307,0.3,32.1016
2025-03-24 15:28:42.296609,0.3,32.0747
2025-03-24 15:28:52.539331,3,35.7825
2025-03-24 15:29:02.761176,1.7,32.2945
2025-03-24 15:29:13.011520,1.9,34.1299
2025-03-24 15:29:23.296495,2.3,32.5495
2025-03-24 15:29:39.817331,2.7,33.5477
2025-03-24 15:29:50.163336,2.1,32.0456
2025-03-24 15:30:00.428955,0.5,32.7076
2025-03-24 15:30:10.827216,0.4,32.2241
2025-03-24 15:30:21.028318,0.3,32.0348
2025-03-24 15:30:31.374579,4.2,32.7304
2025-03-24 15:30:41.564661,0.5,32.6953
2025-03-24 15:30:51.862208,1.5,32.7906
2025-03-24 15:31:02.129546,1.4,33.1171
2025-03-24 15:31:12.382236,1.5,32.7462
2025-03-24 15:31:22.597402,1.8,34.4160
2025-03-24 15:31:32.808588,1.6,33.9878
2025-03-24 15:31:43.019484,1.3,33.5444
2025-03-24 15:31:53.214962,3,32.6921
2025-03-24 15:32:03.431587,4.2,34.8421
2025-03-24 15:32:13.719476,1.3,32.7440
2025-03-24 15:32:23.941558,1.6,32.5244
2025-03-24 15:32:34.164634,1.4,32.9896
2025-03-24 15:32:44.377401,4.5,37.9335
2025-03-24 15:32:54.597596,1.4,32.8036
2025-03-24 15:33:04.786861,2.5,32.7145
2025-03-24 15:33:15.024096,3.5,34.5069
2025-03-24 15:33:25.237628,1.7,32.3514
2025-03-24 15:33:35.451509,3.2,32.2310
2025-03-24 15:33:45.647648,1.8,32.4892
2025-03-24 15:33:55.942091,3.2,34.9005
2025-03-24 15:34:06.220631,5.2,39.6125
2025-03-24 16:08:16.260913,4,32.4388
